"Sätze","Junktor"
"Wenn der Fremde die Anhöhen hinzog, dann ließ ein junger Kaufmann das Geschäft an.",Implikation
"Die dortige Kolonie betrieb das Geschäft.",Proposition
"Die dortige Kolonie betrieb das Geschäft oder seine Landsleute schienen dem Freund.",Disjunktion
"Georg Bendemann ist ein junger Kaufmann und hatte einen Brief verschlossen.",Konjunktion
"Georg Bendemann dachte.",Proposition
"Die Brücke zog die Anhöhen hin.",Proposition
"Das Fenster beendete einen Brief nicht.",Negation
"Wenn die Anhöhen die Brücke verdeckten, dann arbeitete der Freund im Ausland.",Implikation
"Auch fast keinen gesellschaftlichen Verkehr klagte nicht.",Negation
"Der fremdartige Vollbart ließ das Geschäft an nicht.",Negation
"Wenn die Höhe die Brücke verdeckte, dann arbeiteten die Anhöhen im Ausland.",Implikation
"Georg Bendemann sitzt in einem der niedrigen, leichtgebauten Häuser.",Proposition
"Die Anhöhen klagten nicht.",Negation
"Der Fremde zog die Anhöhen hin oder ein junger Kaufmann ließ das Geschäft an.",Disjunktion
"Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann fast keinen gesellschaftlichen Verkehr .",Implikation
"Das Fenster beendete einen Brief oder das Haus verschloss den Fluss.",Disjunktion
"Das Fenster beendete einen Brief oder das Haus verschloss den Fluss.",Disjunktion
"Ein junger Kaufmann saß am Fenster.",Proposition
"Der Freund beendete einen Brief oder der Fremde verschloss das Haus.",Disjunktion
"Georg Bendemann ist ein junger Kaufmann und es ist Sonntagvormittag.",Konjunktion
"Georg Bendemann ist ein junger Kaufmann.",Proposition
"Die Brücke richtete die Anhöhen nicht.",Negation
"Ein junger Kaufmann erzählte.",Proposition
"Die Anhöhen stockten.",Proposition
"Wenn der Freund einen Brief beendete, dann verschloss der Fremde das Haus.",Implikation
"Die Brücke klagte.",Proposition
"Georg Bendemann betrieb das Geschäft nicht.",Negation
"Die Höhe verdeckte die Brücke.",Proposition
"Der Fremde klagte nicht.",Negation
"Der Freund arbeitete im Ausland.",Proposition
"Georg Bendemann ist ein junger Kaufmann und arbeitet sich nicht in der Fremde nutzlos ab.",Konjunktion
"Dem Fenster hinzudeuten.",Proposition
"Die Anhöhen erzählten nicht.",Negation
"Auch fast keinen gesellschaftlichen Verkehr klagte.",Proposition
"Das Fenster beendete einen Brief und das Haus verschloss den Fluss.",Konjunktion
"Die Brücke klagte nicht.",Negation
"Der Fremde stockte.",Proposition
"Der Freund beendete einen Brief und der Fremde verschloss das Haus.",Konjunktion
"Wenn die Höhe die Brücke verdeckte, dann arbeiteten die Anhöhen im Ausland.",Implikation
"Die niedrigen, leichtgebauten Häuser unterschieden sich nicht.",Negation
"Der Freund beendete einen Brief nicht.",Negation
"Wenn der Fremde die Anhöhen hinzog, dann ließ ein junger Kaufmann das Geschäft an.",Implikation
"Die dortige Kolonie stockte.",Proposition
"Die niedrigen, leichtgebauten Häuser sahen den Fluss und ein junger Kaufmann saß am Fenster.",Konjunktion
"Georg Bendemann sah aus dem Fenster.",Proposition
"Ein junger Kaufmann stockte nicht.",Negation
"Die Brücke erzählte.",Proposition
"Die niedrigen, leichtgebauten Häuser richteten die Anhöhen nicht.",Negation
"Ein endgültiges Junggesellentum saß am Fenster nicht.",Negation
"Einen Sonntagvormittag flüchtete der Freund.",Proposition
"Die Anhöhen flüchteten den Freund.",Proposition
"Wenn auch fast keinen gesellschaftlichen Verkehr den Fluss sah, dann saß ein endgültiges Junggesellentum am Fenster.",Implikation
"Einen Sonntagvormittag flüchtete der Freund oder die niedrigen, leichtgebauten Häuser richteten die Anhöhen.",Disjunktion
"Seine Landsleute erzählten nicht.",Negation
"Einen Sonntagvormittag schien der Freund.",Proposition
"Die dortige Kolonie stockte nicht.",Negation
"Die Brücke zog die Anhöhen hin und der fremdartige Vollbart ließ das Geschäft an.",Konjunktion
"Wenn die niedrigen, leichtgebauten Häuser den Fluss sahen, dann saß ein junger Kaufmann am Fenster.",Implikation
"Ein junger Kaufmann ließ das Geschäft an.",Proposition
"Die Brücke zog die Anhöhen hin nicht.",Negation
"Georg Bendemann sah den Fluss oder ein junger Kaufmann saß am Fenster.",Disjunktion
"Auch fast keinen gesellschaftlichen Verkehr sah den Fluss und ein endgültiges Junggesellentum saß am Fenster.",Konjunktion
"Ein junger Kaufmann sitzt in einem der niedrigen, leichtgebauten Häuser.",Proposition
"Die Höhe verdeckte die Brücke oder die Anhöhen arbeiteten im Ausland.",Disjunktion
"Georg Bendemann betrieb das Geschäft und einen Sonntagvormittag schien der Freund.",Konjunktion
"Auch fast keinen gesellschaftlichen Verkehr sah den Fluss und ein endgültiges Junggesellentum saß am Fenster.",Konjunktion
"Die Brücke erzählte nicht.",Negation
"Die niedrigen, leichtgebauten Häuser unterschieden sich.",Proposition
"Einen Sonntagvormittag hinzudeuten.",Proposition
"Ein junger Kaufmann sitzt in seinem Privatzimmer.",Proposition
"Die dortige Kolonie betrieb das Geschäft nicht.",Negation
"Den Fluss unterschieden nicht.",Negation
"Einen Sonntagvormittag flüchtete der Freund und die niedrigen, leichtgebauten Häuser richteten die Anhöhen.",Konjunktion
"Der Freund dachte.",Proposition
"Wenn der Freund in Petersburg ist, dann richtete sich ein junger Kaufmann für ein endgültiges Junggesellentum ein.",Implikation
"Seine Landsleute erzählten.",Proposition
"Wenn die dortige Kolonie das Geschäft betrieb, dann schienen seine Landsleute dem Freund.",Implikation
"Der Fremde zog die Anhöhen hin und ein junger Kaufmann ließ das Geschäft an.",Konjunktion
"Wenn die Brücke die Anhöhen hinzog, dann ließ der fremdartige Vollbart das Geschäft an.",Implikation
"Georg Bendemann sitzt in seinem Privatzimmer.",Proposition
"Wenn der Freund einen Brief beendete, dann verschloss der Fremde das Haus.",Implikation
"Die dortige Kolonie betrieb das Geschäft und seine Landsleute schienen dem Freund.",Konjunktion
"Die Anhöhen erzählten.",Proposition
"Einen Sonntagvormittag flüchtete der Freund nicht.",Negation
"Wenn der Freund in Petersburg ist, dann arbeitet ein junger Kaufmann sich in der Fremde nutzlos ab.",Implikation
"Der fremdartige Vollbart dachte.",Proposition
"Die niedrigen, leichtgebauten Häuser sahen den Fluss nicht.",Negation
"Den Fluss verschloss das Haus.",Proposition
"Seine Landsleute schienen dem Freund nicht.",Negation
"Die Anhöhen stockten nicht.",Negation
"Einen Sonntagvormittag flüchtete der Freund und die niedrigen, leichtgebauten Häuser richteten die Anhöhen.",Konjunktion
"Wenn auch fast keinen gesellschaftlichen Verkehr den Fluss sah, dann saß ein endgültiges Junggesellentum am Fenster.",Implikation
"Die niedrigen, leichtgebauten Häuser sahen den Fluss und ein junger Kaufmann saß am Fenster.",Konjunktion
"Ein junger Kaufmann erzählte nicht.",Negation
"Georg Bendemann dachte nicht.",Negation
"Georg Bendemann klagte nicht.",Negation
"Die Brücke richtete die Anhöhen.",Proposition
"Der Freund beendete einen Brief und der Fremde verschloss das Haus.",Konjunktion
"Wenn die dortige Kolonie das Geschäft betrieb, dann schienen seine Landsleute dem Freund.",Implikation
"Wenn einen Sonntagvormittag der Freund flüchtete, dann richteten die niedrigen, leichtgebauten Häuser die Anhöhen.",Implikation
"Der Freund erzählte.",Proposition
"Die Anhöhen verdeckten die Brücke und der Freund arbeitete im Ausland.",Konjunktion
"Die Höhe verdeckte die Brücke und die Anhöhen arbeiteten im Ausland.",Konjunktion
"Georg Bendemann sah den Fluss nicht.",Negation
"Die Anhöhen arbeiteten im Ausland nicht.",Negation
"Die niedrigen, leichtgebauten Häuser sahen den Fluss oder ein junger Kaufmann saß am Fenster.",Konjunktion
"Wenn die Anhöhen den Freund flüchteten, dann richtete die Brücke die Anhöhen.",Implikation
"Den Fluss unterschieden.",Proposition
"Die Anhöhen verdeckten die Brücke oder der Freund arbeitete im Ausland.",Disjunktion
"Die dortige Kolonie betrieb das Geschäft oder seine Landsleute schienen dem Freund.",Disjunktion
"Die Anhöhen verdeckten die Brücke.",Proposition
"Auch fast keinen gesellschaftlichen Verkehr sah den Fluss oder ein endgültiges Junggesellentum saß am Fenster.",Disjunktion
"Wenn das Fenster einen Brief beendete, dann verschloss das Haus den Fluss.",Implikation
"Georg Bendemann sah den Fluss und ein junger Kaufmann saß am Fenster.",Konjunktion
"Die Anhöhen flüchteten den Freund und die Brücke richtete die Anhöhen.",Konjunktion
"Wenn Georg Bendemann das Geschäft betrieb, dann schien einen Sonntagvormittag der Freund.",Implikation
"Einen Sonntagvormittag hinzudeuten.",Proposition
"Der Freund arbeitete im Ausland nicht.",Negation
"Ein endgültiges Junggesellentum dachte nicht.",Negation
"Auch fast keinen gesellschaftlichen Verkehr sah den Fluss oder ein endgültiges Junggesellentum saß am Fenster.",Disjunktion
"Der fremdartige Vollbart ließ das Geschäft an.",Proposition
"Wenn der Freund in Petersburg ist, dann sitzt Georg Bendemann in seinem Privatzimmer.",Implikation
"Georg Bendemann sah den Fluss.",Proposition
"Wenn Georg Bendemann im ersten Stock sitzt, dann hatte ein junger Kaufmann gerade einen Brief an einen sich im Ausland befindlichen Jugendfreund beendet.",Implikation
"Die Brücke zog die Anhöhen hin und der fremdartige Vollbart ließ das Geschäft an.",Konjunktion
"Einen Sonntagvormittag hinzudeuten nicht.",Negation
"Die Anhöhen klagten.",Proposition
"Der Fremde zog die Anhöhen hin.",Proposition
"Ein junger Kaufmann stockte.",Proposition
"Die Anhöhen verdeckten die Brücke nicht.",Negation
"Wenn Georg Bendemann den Fluss sah, dann saß ein junger Kaufmann am Fenster.",Implikation
"Die niedrigen, leichtgebauten Häuser unterschieden sich nicht.",Negation
"Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann keine rechte Verbindung mit der dortigen Kolonie.",Implikation
"Der Jugendfreund arbeitete sich in der Fremde ab.",Proposition
"Auch fast keinen gesellschaftlichen Verkehr sah den Fluss nicht.",Negation
"Die niedrigen, leichtgebauten Häuser sahen den Fluss oder ein junger Kaufmann saß am Fenster.",Disjunktion
"Auch fast keinen gesellschaftlichen Verkehr sah den Fluss.",Proposition
"Die Höhe verdeckte die Brücke nicht.",Negation
"Den Fluss verschloss das Haus nicht.",Negation
"Georg Bendemann betrieb das Geschäft oder einen Sonntagvormittag schien der Freund.",Disjunktion
"Dem Fenster hinzudeuten nicht.",Negation
"Einen Sonntagvormittag hinzudeuten nicht.",Negation
"Das Fenster beendete einen Brief und das Haus verschloss den Fluss.",Konjunktion
"Seine Landsleute schienen dem Freund.",Proposition
"Georg Bendemann ist ein junger Kaufmann und und betreibt kein Geschäft in Petersburg.",Konjunktion
"Die Anhöhen flüchteten den Freund nicht.",Negation
"Die Anhöhen flüchteten den Freund oder die Brücke richtete die Anhöhen.",Disjunktion
"Ein junger Kaufmann hatte gerade einen Brief an einen sich im Ausland befindlichen Jugendfreund beendet.",Proposition
"Der Freund erzählte nicht.",Negation
"Die Anhöhen verdeckten die Brücke oder der Freund arbeitete im Ausland.",Disjunktion
"Die Brücke zog die Anhöhen hin oder der fremdartige Vollbart ließ das Geschäft an.",Disjunktion
"Einen Sonntagvormittag flüchtete der Freund oder die niedrigen, leichtgebauten Häuser richteten die Anhöhen.",Disjunktion
"Die dortige Kolonie betrieb das Geschäft und seine Landsleute schienen dem Freund.",Konjunktion
