Sätze	Wahrheitswert	intrinsisch/extrinsisch	Ich weiss es nicht	Kommentar
Die Höhe verdeckte die Brücke und die Anhöhen arbeiteten im Ausland.	FALSE	extrinsisch		
Der Freund dachte nicht.	FALSE	intrinsisch		Habe es mal als intrinsisch angenommen, dass eine Person immer "denkt", da es hier als generische Aussage erscheint
Der fremdartige Vollbart dachte nicht.	TRUE	intrinsisch		Gleiche Argumentation wie hierüber, ein Vollbart denkt nicht
Die Anhöhen verdeckten die Brücke und der Freund arbeitete im Ausland.	FALSE	extrinsisch		
Der Fremde zog die Anhöhen hin oder ein junger Kaufmann ließ das Geschäft an.	FALSE	extrinsisch		
Die Brücke zog die Anhöhen hin oder der fremdartige Vollbart ließ das Geschäft an.	FALSE	extrinsisch		
Der Fremde verschloss das Haus.	FALSE	extrinsisch		wieder sollte es "die Fremde" sein
Wenn der Freund in Petersburg ist, dann ist der Freund in Rußland.	TRUE	extrinsisch		
Wenn der Fremde die Anhöhen hinzog, dann ließ ein junger Kaufmann das Geschäft an.	TRUE	extrinsisch		
Die dortige Kolonie betrieb das Geschäft.	FALSE	extrinsisch		
Die dortige Kolonie betrieb das Geschäft oder seine Landsleute schienen dem Freund.	FALSE	extrinsisch		
Georg Bendemann ist ein junger Kaufmann und hatte einen Brief verschlossen.	FALSE	extrinsisch		
Georg Bendemann dachte.	TRUE	intrinsisch		
Die Brücke zog die Anhöhen hin.	FALSE	extrinsisch		
Das Fenster beendete einen Brief nicht.	TRUE	extrinsisch		
Wenn die Anhöhen die Brücke verdeckten, dann arbeitete der Freund im Ausland.	TRUE	extrinsisch		
Auch fast keinen gesellschaftlichen Verkehr klagte nicht.	FALSE	extrinsisch		
Der fremdartige Vollbart ließ das Geschäft an nicht.	TRUE	extrinsisch		
Wenn die Höhe die Brücke verdeckte, dann arbeiteten die Anhöhen im Ausland.	TRUE	extrinsisch		
Georg Bendemann sitzt in einem der niedrigen, leichtgebauten Häuser.	FALSE	extrinsisch		
Die Anhöhen klagten nicht.	TRUE	extrinsisch		
Der Fremde zog die Anhöhen hin oder ein junger Kaufmann ließ das Geschäft an.	FALSE	extrinsisch		
Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann fast keinen gesellschaftlichen Verkehr .	FALSE	extrinsisch		
Das Fenster beendete einen Brief oder das Haus verschloss den Fluss.	FALSE	extrinsisch		
Das Fenster beendete einen Brief oder das Haus verschloss den Fluss.	FALSE	extrinsisch		Satz steht doppelt drin
Ein junger Kaufmann saß am Fenster.	TRUE	extrinsisch		
Der Freund beendete einen Brief oder der Fremde verschloss das Haus.	FALSE	extrinsisch		Satz steht doppelt drin
Georg Bendemann ist ein junger Kaufmann und es ist Sonntagvormittag.	TRUE	extrinsisch		
Georg Bendemann ist ein junger Kaufmann.	TRUE	extrinsisch		
Die Brücke richtete die Anhöhen nicht.	TRUE	extrinsisch		
Ein junger Kaufmann erzählte.	FALSE	extrinsisch		
Die Anhöhen stockten.	FALSE	extrinsisch		
Wenn der Freund einen Brief beendete, dann verschloss der Fremde das Haus.	FALSE	extrinsisch		
Die Brücke klagte.	FALSE	extrinsisch		
Georg Bendemann betrieb das Geschäft nicht.	TRUE	extrinsisch		
Die Höhe verdeckte die Brücke.	FALSE	extrinsisch		
Der Fremde klagte nicht.	TRUE	extrinsisch		
Der Freund arbeitete im Ausland.	TRUE	extrinsisch		
Georg Bendemann ist ein junger Kaufmann und arbeitet sich nicht in der Fremde nutzlos ab.	TRUE	extrinsisch		
Dem Fenster hinzudeuten.	TRUE	extrinsisch		"Das Fenster deutete nicht hin"
Die Anhöhen erzählten nicht.	TRUE	extrinsisch		
Auch fast keinen gesellschaftlichen Verkehr klagte.	TRUE	extrinsisch		"Kein Gesellschaftlicher Verkehr klagte"
Das Fenster beendete einen Brief und das Haus verschloss den Fluss.	FALSE	extrinsisch		
Die Brücke klagte nicht.	TRUE	extrinsisch		
Der Fremde stockte.	FALSE	extrinsisch		
Der Freund beendete einen Brief und der Fremde verschloss das Haus.	FALSE	extrinsisch		
Wenn die Höhe die Brücke verdeckte, dann arbeiteten die Anhöhen im Ausland.	TRUE	extrinsisch		
Die niedrigen, leichtgebauten Häuser unterschieden sich nicht.	FALSE	extrinsisch		
Der Freund beendete einen Brief nicht.	TRUE	extrinsisch		
Wenn der Fremde die Anhöhen hinzog, dann ließ ein junger Kaufmann das Geschäft an.	TRUE	extrinsisch		
Die dortige Kolonie stockte.	FALSE	extrinsisch		
Die niedrigen, leichtgebauten Häuser sahen den Fluss und ein junger Kaufmann saß am Fenster.	FALSE	extrinsisch		
Georg Bendemann sah aus dem Fenster.	TRUE	extrinsisch		
Ein junger Kaufmann stockte nicht.	TRUE	extrinsisch		
Die Brücke erzählte.	FALSE	extrinsisch		
Die niedrigen, leichtgebauten Häuser richteten die Anhöhen nicht.	TRUE	extrinsisch		
Ein endgültiges Junggesellentum saß am Fenster nicht.	TRUE	extrinsisch		
Einen Sonntagvormittag flüchtete der Freund.	FALSE	extrinsisch		
Die Anhöhen flüchteten den Freund.	FALSE	extrinsisch		
Wenn auch fast keinen gesellschaftlichen Verkehr den Fluss sah, dann saß ein endgültiges Junggesellentum am Fenster.	TRUE	extrinsisch		
Einen Sonntagvormittag flüchtete der Freund oder die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSE	extrinsisch		
Seine Landsleute erzählten nicht.	TRUE	extrinsisch		
Einen Sonntagvormittag schien der Freund.	FALSE	extrinsisch		
Die dortige Kolonie stockte nicht.	TRUE	extrinsisch		
Die Brücke zog die Anhöhen hin und der fremdartige Vollbart ließ das Geschäft an.	FALSE	extrinsisch		
Wenn die niedrigen, leichtgebauten Häuser den Fluss sahen, dann saß ein junger Kaufmann am Fenster.	TRUE	extrinsisch		
Ein junger Kaufmann ließ das Geschäft an.	FALSE	extrinsisch		
Die Brücke zog die Anhöhen hin nicht.	TRUE	extrinsisch		
Georg Bendemann sah den Fluss oder ein junger Kaufmann saß am Fenster.	TRUE	extrinsisch		
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss und ein endgültiges Junggesellentum saß am Fenster.	FALSE	extrinsisch		
Ein junger Kaufmann sitzt in einem der niedrigen, leichtgebauten Häuser.	FALSE	extrinsisch		
Die Höhe verdeckte die Brücke oder die Anhöhen arbeiteten im Ausland.	FALSE	extrinsisch		
Georg Bendemann betrieb das Geschäft und einen Sonntagvormittag schien der Freund.	FALSE	extrinsisch		
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss und ein endgültiges Junggesellentum saß am Fenster.	FALSE	extrinsisch		
Die Brücke erzählte nicht.	TRUE	extrinsisch		
Die niedrigen, leichtgebauten Häuser unterschieden sich.	TRUE	extrinsisch		
Einen Sonntagvormittag hinzudeuten.	FALSE	extrinsisch		
Ein junger Kaufmann sitzt in seinem Privatzimmer.	TRUE	extrinsisch		
Die dortige Kolonie betrieb das Geschäft nicht.	TRUE	extrinsisch		
Den Fluss unterschieden nicht.	FALSE	extrinsisch		
Einen Sonntagvormittag flüchtete der Freund und die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSE	extrinsisch		
Der Freund dachte.	TRUE	intrinsisch		
Wenn der Freund in Petersburg ist, dann richtete sich ein junger Kaufmann für ein endgültiges Junggesellentum ein.	FALSE	extrinsisch		
Seine Landsleute erzählten.	FALSE	extrinsisch		
Wenn die dortige Kolonie das Geschäft betrieb, dann schienen seine Landsleute dem Freund.	TRUE	extrinsisch		
Der Fremde zog die Anhöhen hin und ein junger Kaufmann ließ das Geschäft an.	FALSE	extrinsisch		
Wenn die Brücke die Anhöhen hinzog, dann ließ der fremdartige Vollbart das Geschäft an.	TRUE	extrinsisch		
Georg Bendemann sitzt in seinem Privatzimmer.	TRUE	extrinsisch		
Wenn der Freund einen Brief beendete, dann verschloss der Fremde das Haus.	TRUE	extrinsisch		
Die dortige Kolonie betrieb das Geschäft und seine Landsleute schienen dem Freund.	FALSE	extrinsisch		
Die Anhöhen erzählten.	FALSE	extrinsisch		
Einen Sonntagvormittag flüchtete der Freund nicht.	TRUE	extrinsisch		
Wenn der Freund in Petersburg ist, dann arbeitet ein junger Kaufmann sich in der Fremde nutzlos ab.	TRUE	extrinsisch		
Der fremdartige Vollbart dachte.	FALSE	intrinsisch		
Die niedrigen, leichtgebauten Häuser sahen den Fluss nicht.	TRUE	extrinsisch		
Den Fluss verschloss das Haus.	FALSE	extrinsisch		
Seine Landsleute schienen dem Freund nicht.	TRUE	extrinsisch		
Die Anhöhen stockten nicht.	TRUE	extrinsisch		
Einen Sonntagvormittag flüchtete der Freund und die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSE	extrinsisch		
Wenn auch fast keinen gesellschaftlichen Verkehr den Fluss sah, dann saß ein endgültiges Junggesellentum am Fenster.	TRUE	extrinsisch		
Die niedrigen, leichtgebauten Häuser sahen den Fluss und ein junger Kaufmann saß am Fenster.	FALSE	extrinsisch		
Ein junger Kaufmann erzählte nicht.	TRUE	extrinsisch		
Georg Bendemann dachte nicht.	FALSE	intrinsisch		
Georg Bendemann klagte nicht.	TRUE	extrinsisch		
Die Brücke richtete die Anhöhen.	FALSE	extrinsisch		
Der Freund beendete einen Brief und der Fremde verschloss das Haus.	FALSE	extrinsisch		
Wenn die dortige Kolonie das Geschäft betrieb, dann schienen seine Landsleute dem Freund.	TRUE	extrinsisch		
Wenn einen Sonntagvormittag der Freund flüchtete, dann richteten die niedrigen, leichtgebauten Häuser die Anhöhen.	TRUE	extrinsisch		
Der Freund erzählte.	TRUE	extrinsisch		
Die Anhöhen verdeckten die Brücke und der Freund arbeitete im Ausland.	FALSE	extrinsisch		
Die Höhe verdeckte die Brücke und die Anhöhen arbeiteten im Ausland.	FALSE	extrinsisch		
Georg Bendemann sah den Fluss nicht.	FALSE	extrinsisch		
Die Anhöhen arbeiteten im Ausland nicht.	TRUE	extrinsisch		
Die niedrigen, leichtgebauten Häuser sahen den Fluss oder ein junger Kaufmann saß am Fenster.	TRUE	extrinsisch		
Wenn die Anhöhen den Freund flüchteten, dann richtete die Brücke die Anhöhen.	TRUE	extrinsisch		
Den Fluss unterschieden.	FALSE	extrinsisch		
Die Anhöhen verdeckten die Brücke oder der Freund arbeitete im Ausland.	TRUE	extrinsisch		
Die dortige Kolonie betrieb das Geschäft oder seine Landsleute schienen dem Freund.	FALSE	extrinsisch		
Die Anhöhen verdeckten die Brücke.	FALSE	extrinsisch		
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss oder ein endgültiges Junggesellentum saß am Fenster.	FALSE	extrinsisch		
Wenn das Fenster einen Brief beendete, dann verschloss das Haus den Fluss.	TRUE	extrinsisch		
Georg Bendemann sah den Fluss und ein junger Kaufmann saß am Fenster.	TRUE	extrinsisch		
Die Anhöhen flüchteten den Freund und die Brücke richtete die Anhöhen.	FALSE	extrinsisch		
Wenn Georg Bendemann das Geschäft betrieb, dann schien einen Sonntagvormittag der Freund.	TRUE	extrinsisch		
Einen Sonntagvormittag hinzudeuten.	FALSE	extrinsisch		
Der Freund arbeitete im Ausland nicht.	FALSE	extrinsisch		
Ein endgültiges Junggesellentum dachte nicht.	TRUE	intrinsisch		
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss oder ein endgültiges Junggesellentum saß am Fenster.	FALSE	extrinsisch		
Der fremdartige Vollbart ließ das Geschäft an.	FALSE	extrinsisch		
Wenn der Freund in Petersburg ist, dann sitzt Georg Bendemann in seinem Privatzimmer.	FALSE	extrinsisch		
Georg Bendemann sah den Fluss.	TRUE	extrinsisch		
Wenn Georg Bendemann im ersten Stock sitzt, dann hatte ein junger Kaufmann gerade einen Brief an einen sich im Ausland befindlichen Jugendfreund beendet.	FALSE	extrinsisch		
Die Brücke zog die Anhöhen hin und der fremdartige Vollbart ließ das Geschäft an.	FALSE	extrinsisch		
Einen Sonntagvormittag hinzudeuten nicht.	TRUE	extrinsisch		
Die Anhöhen klagten.	FALSE	extrinsisch		
Der Fremde zog die Anhöhen hin.	FALSE	extrinsisch		
Ein junger Kaufmann stockte.	FALSE	extrinsisch		
Die Anhöhen verdeckten die Brücke nicht.	TRUE	extrinsisch		
Wenn Georg Bendemann den Fluss sah, dann saß ein junger Kaufmann am Fenster.	FALSE	extrinsisch		
Die niedrigen, leichtgebauten Häuser unterschieden sich nicht.	FALSE	extrinsisch		
Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann keine rechte Verbindung mit der dortigen Kolonie.	FALSE	extrinsisch		
Der Jugendfreund arbeitete sich in der Fremde ab.	TRUE	extrinsisch		
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss nicht.	TRUE	extrinsisch		
Die niedrigen, leichtgebauten Häuser sahen den Fluss oder ein junger Kaufmann saß am Fenster.	TRUE	extrinsisch		
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss.	FALSE	extrinsisch		
Die Höhe verdeckte die Brücke nicht.	TRUE	extrinsisch		
Den Fluss verschloss das Haus nicht.	TRUE	extrinsisch		
Georg Bendemann betrieb das Geschäft oder einen Sonntagvormittag schien der Freund.	FALSE	extrinsisch		
Dem Fenster hinzudeuten nicht.	TRUE	extrinsisch		"Das Fenster deutete nicht hin"
Einen Sonntagvormittag hinzudeuten nicht.	TRUE	extrinsisch		
Das Fenster beendete einen Brief und das Haus verschloss den Fluss.	FALSE	extrinsisch		
Seine Landsleute schienen dem Freund.	FALSE	extrinsisch		
Georg Bendemann ist ein junger Kaufmann und und betreibt kein Geschäft in Petersburg.	TRUE	extrinsisch		
Die Anhöhen flüchteten den Freund nicht.	TRUE	extrinsisch		
Die Anhöhen flüchteten den Freund oder die Brücke richtete die Anhöhen.	FALSE	extrinsisch		
Ein junger Kaufmann hatte gerade einen Brief an einen sich im Ausland befindlichen Jugendfreund beendet.	TRUE	extrinsisch		
Der Freund erzählte nicht.	FALSE	extrinsisch		
Die Anhöhen verdeckten die Brücke oder der Freund arbeitete im Ausland.	TRUE	extrinsisch		
Die Brücke zog die Anhöhen hin oder der fremdartige Vollbart ließ das Geschäft an.	FALSE	extrinsisch		
Einen Sonntagvormittag flüchtete der Freund oder die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSE	extrinsisch		
Die dortige Kolonie betrieb das Geschäft und seine Landsleute schienen dem Freund.	FALSE	extrinsisch		
