Sätze	Wahrheitswert	intrinsisch/extrinsisch	Ich weiss es nicht	Kommentar	@dropdown
Der fremdartige Vollbart dachte nicht.	WAHR	EXTR.			
Die Anhöhen verdeckten die Brücke und der Freund arbeitete im Ausland.	FALSCH	EXTR.			
Der Fremde zog die Anhöhen hin oder ein junger Kaufmann ließ das Geschäft an.	FALSCH	EXTR.		unverständlich	
Die Brücke zog die Anhöhen hin oder der fremdartige Vollbart ließ das Geschäft an.	FALSCH	EXTR.		unverständlich	
Der Fremde verschloss das Haus.	FALSCH	EXTR.			
Wenn der Freund in Petersburg ist, dann ist der Freund in Rußland.	WAHR	EXTR.		quasi-analytisch	
Wenn der Fremde die Anhöhen hinzog, dann ließ ein junger Kaufmann das Geschäft an.	WAHR	EXTR.			
Die dortige Kolonie betrieb das Geschäft.	FALSCH	EXTR.			
Die dortige Kolonie betrieb das Geschäft oder seine Landsleute schienen dem Freund.	FALSCH	EXTR.		unverständlich	
Georg Bendemann ist ein junger Kaufmann und hatte einen Brief verschlossen.	WAHR	EXTR.			
Georg Bendemann dachte.	WAHR	EXTR.			
Die Brücke zog die Anhöhen hin.	FALSCH	EXTR.			
Das Fenster beendete einen Brief nicht.	WAHR	INTR.		quasi-analytisch	
Wenn die Anhöhen die Brücke verdeckten, dann arbeitete der Freund im Ausland.	WAHR	INTR.			
Auch fast keinen gesellschaftlichen Verkehr klagte nicht.				unverständlich	
Der fremdartige Vollbart ließ das Geschäft an nicht.				unverständlich	
Wenn die Höhe die Brücke verdeckte, dann arbeiteten die Anhöhen im Ausland.	WAHR	INTR.			
Georg Bendemann sitzt in einem der niedrigen, leichtgebauten Häuser.	WAHR	EXTR.			
Die Anhöhen klagten nicht.	WAHR	EXTR.		abstrakter Gegenstand / Kategorienfehler	
Der Fremde zog die Anhöhen hin oder ein junger Kaufmann ließ das Geschäft an.	FALSCH	EXTR.		unverständlich	
Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann fast keinen gesellschaftlichen Verkehr .	FALSCH	EXTR.			
Das Fenster beendete einen Brief oder das Haus verschloss den Fluss.	FALSCH	EXTR.			
Das Fenster beendete einen Brief oder das Haus verschloss den Fluss.	FALSCH	EXTR.			
Ein junger Kaufmann saß am Fenster.	WAHR	INTR.			
Der Freund beendete einen Brief oder der Fremde verschloss das Haus.	WAHR	EXTR.			
Georg Bendemann ist ein junger Kaufmann und es ist Sonntagvormittag.	WAHR	EXTR.			
Georg Bendemann ist ein junger Kaufmann.	WAHR	EXTR.			
Die Brücke richtete die Anhöhen nicht.	WAHR	EXTR.			
Ein junger Kaufmann erzählte.	FALSCH	EXTR.			
Die Anhöhen stockten.	FALSCH	EXTR.		abstrakter Gegenstand / Kategorienfehler	
Wenn der Freund einen Brief beendete, dann verschloss der Fremde das Haus.	FALSCH	EXTR.			
Die Brücke klagte.	FALSCH	EXTR.		abstrakter Gegenstand / Kategorienfehler	
Georg Bendemann betrieb das Geschäft nicht.	FALSCH	EXTR.			
Die Höhe verdeckte die Brücke.	FALSCH	EXTR.			
Der Fremde klagte nicht.	FALSCH	EXTR.			
Der Freund arbeitete im Ausland.	WAHR	EXTR.			
Georg Bendemann ist ein junger Kaufmann und arbeitet sich nicht in der Fremde nutzlos ab.	WAHR	EXTR.			
Dem Fenster hinzudeuten.				unverständlich	
Die Anhöhen erzählten nicht.	WAHR	EXTR.			
Auch fast keinen gesellschaftlichen Verkehr klagte.				unverständlich	
Das Fenster beendete einen Brief und das Haus verschloss den Fluss.	FALSCH	EXTR.			
Die Brücke klagte nicht.	WAHR	EXTR.			
Der Fremde stockte.	FALSCH	EXTR.			
Der Freund beendete einen Brief und der Fremde verschloss das Haus.	FALSCH	EXTR.			
Wenn die Höhe die Brücke verdeckte, dann arbeiteten die Anhöhen im Ausland.	WAHR	EXTR.			
Die niedrigen, leichtgebauten Häuser unterschieden sich nicht.	FALSCH	EXTR.			
Der Freund beendete einen Brief nicht.	FALSCH	EXTR.			
Wenn der Fremde die Anhöhen hinzog, dann ließ ein junger Kaufmann das Geschäft an.	WAHR	EXTR.			
Die dortige Kolonie stockte.	FALSCH	EXTR.			
Die niedrigen, leichtgebauten Häuser sahen den Fluss und ein junger Kaufmann saß am Fenster.	FALSCH	EXTR.			
Georg Bendemann sah aus dem Fenster.	WAHR	EXTR.			
Ein junger Kaufmann stockte nicht.	FALSCH	EXTR.			
Die Brücke erzählte.	FALSCH	EXTR.			
Die niedrigen, leichtgebauten Häuser richteten die Anhöhen nicht.	FALSCH	EXTR.			
Ein endgültiges Junggesellentum saß am Fenster nicht.	WAHR			abstrakter Gegenstand / Kategorienfehler	
Einen Sonntagvormittag flüchtete der Freund.	FALSCH	EXTR.			
Die Anhöhen flüchteten den Freund.	FALSCH	EXTR.			
Wenn auch fast keinen gesellschaftlichen Verkehr den Fluss sah, dann saß ein endgültiges Junggesellentum am Fenster.	WAHR	INTR.		unverständlich	
Einen Sonntagvormittag flüchtete der Freund oder die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSCH	EXTR.			
Seine Landsleute erzählten nicht.	FALSCH	EXTR.			
Einen Sonntagvormittag schien der Freund.	FALSCH	EXTR.			
Die dortige Kolonie stockte nicht.	WAHR	EXTR.			
Die Brücke zog die Anhöhen hin und der fremdartige Vollbart ließ das Geschäft an.	FALSCH	EXTR.			
Wenn die niedrigen, leichtgebauten Häuser den Fluss sahen, dann saß ein junger Kaufmann am Fenster.	WAHR	INTR.		unverständlich	
Ein junger Kaufmann ließ das Geschäft an.	FALSCH	EXTR.			
Die Brücke zog die Anhöhen hin nicht.	WAHR	EXTR.		unverständlich	
Georg Bendemann sah den Fluss oder ein junger Kaufmann saß am Fenster.	WAHR	EXTR.			
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss und ein endgültiges Junggesellentum saß am Fenster.	FALSCH	EXTR.			
Ein junger Kaufmann sitzt in einem der niedrigen, leichtgebauten Häuser.	FALSCH	EXTR.			
Die Höhe verdeckte die Brücke oder die Anhöhen arbeiteten im Ausland.	FALSCH	EXTR.			
Georg Bendemann betrieb das Geschäft und einen Sonntagvormittag schien der Freund.	FALSCH	EXTR.			
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss und ein endgültiges Junggesellentum saß am Fenster.	FALSCH	EXTR.			
Die Brücke erzählte nicht.	WAHR	EXTR.			
Die niedrigen, leichtgebauten Häuser unterschieden sich.	WAHR	EXTR.			
Einen Sonntagvormittag hinzudeuten.	FALSCH	EXTR.			
Ein junger Kaufmann sitzt in seinem Privatzimmer.	WAHR	EXTR.			
Die dortige Kolonie betrieb das Geschäft nicht.	FALSCH	EXTR.			
Den Fluss unterschieden nicht.	FALSCH	EXTR.		unverständlich	
Einen Sonntagvormittag flüchtete der Freund und die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSCH	EXTR.			
Der Freund dachte.	WAHR	EXTR.			
Wenn der Freund in Petersburg ist, dann richtete sich ein junger Kaufmann für ein endgültiges Junggesellentum ein.	WAHR	EXTR.			
Seine Landsleute erzählten.	FALSCH	EXTR.			
Wenn die dortige Kolonie das Geschäft betrieb, dann schienen seine Landsleute dem Freund.	WAHR	INTR.			
Der Fremde zog die Anhöhen hin und ein junger Kaufmann ließ das Geschäft an.	FALSCH	EXTR.			
Wenn die Brücke die Anhöhen hinzog, dann ließ der fremdartige Vollbart das Geschäft an.	WAHR	INTR.			
Georg Bendemann sitzt in seinem Privatzimmer.	WAHR	EXTR.			
Wenn der Freund einen Brief beendete, dann verschloss der Fremde das Haus.	FALSCH	EXTR.			
Die dortige Kolonie betrieb das Geschäft und seine Landsleute schienen dem Freund.	FALSCH	EXTR.			
Die Anhöhen erzählten.	FALSCH	EXTR.			
Einen Sonntagvormittag flüchtete der Freund nicht.	WAHR	EXTR.			
Wenn der Freund in Petersburg ist, dann arbeitet ein junger Kaufmann sich in der Fremde nutzlos ab.	WAHR	EXTR.			
Der fremdartige Vollbart dachte.	FALSCH	EXTR.			
Die niedrigen, leichtgebauten Häuser sahen den Fluss nicht.	FALSCH	EXTR.			
Den Fluss verschloss das Haus.	FALSCH	EXTR.			
Seine Landsleute schienen dem Freund nicht.	FALSCH	EXTR.		unverständlich	
Die Anhöhen stockten nicht.	WAHR	EXTR.		unverständlich	
Einen Sonntagvormittag flüchtete der Freund und die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSCH	INTR.		unverständlich	
Wenn auch fast keinen gesellschaftlichen Verkehr den Fluss sah, dann saß ein endgültiges Junggesellentum am Fenster.	WAHR	INTR.			
Die niedrigen, leichtgebauten Häuser sahen den Fluss und ein junger Kaufmann saß am Fenster.	FALSCH	EXTR.		abstrakter Gegenstand / Kategorienfehler	
Ein junger Kaufmann erzählte nicht.	FALSCH	EXTR.			
Georg Bendemann dachte nicht.	FALSCH	EXTR.			
Georg Bendemann klagte nicht.	WAHR	EXTR.			
Die Brücke richtete die Anhöhen.	FALSCH	EXTR.			
Der Freund beendete einen Brief und der Fremde verschloss das Haus.	FALSCH	EXTR.			
Wenn die dortige Kolonie das Geschäft betrieb, dann schienen seine Landsleute dem Freund.	WAHR	INTR.			
Wenn einen Sonntagvormittag der Freund flüchtete, dann richteten die niedrigen, leichtgebauten Häuser die Anhöhen.	WAHR	INTR.			
Der Freund erzählte.	WAHR	EXTR.			
Die Anhöhen verdeckten die Brücke und der Freund arbeitete im Ausland.	FALSCH	EXTR.			
Die Höhe verdeckte die Brücke und die Anhöhen arbeiteten im Ausland.	FALSCH	EXTR.			
Georg Bendemann sah den Fluss nicht.	FALSCH	EXTR.			
Die Anhöhen arbeiteten im Ausland nicht.	WAHR	EXTR.		unverständlich	
Die niedrigen, leichtgebauten Häuser sahen den Fluss oder ein junger Kaufmann saß am Fenster.	WAHR	EXTR.			
Wenn die Anhöhen den Freund flüchteten, dann richtete die Brücke die Anhöhen.	WAHR	INTR.			
Den Fluss unterschieden.	FALSCH	EXTR.			
Die Anhöhen verdeckten die Brücke oder der Freund arbeitete im Ausland.	WAHR	EXTR.			
Die dortige Kolonie betrieb das Geschäft oder seine Landsleute schienen dem Freund.	FALSCH	EXTR.			
Die Anhöhen verdeckten die Brücke.	FALSCH	EXTR.			
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss oder ein endgültiges Junggesellentum saß am Fenster.	FALSCH	EXTR.			
Wenn das Fenster einen Brief beendete, dann verschloss das Haus den Fluss.	WAHR	INTR.			
Georg Bendemann sah den Fluss und ein junger Kaufmann saß am Fenster.	WAHR	EXTR.			
Die Anhöhen flüchteten den Freund und die Brücke richtete die Anhöhen.	FALSCH	EXTR.			
Wenn Georg Bendemann das Geschäft betrieb, dann schien einen Sonntagvormittag der Freund.	FALSCH	EXTR.			
Einen Sonntagvormittag hinzudeuten.	FALSCH	EXTR.			
Der Freund arbeitete im Ausland nicht.	FALSCH	EXTR.			
Ein endgültiges Junggesellentum dachte nicht.				abstrakter Gegenstand / Kategorienfehler	
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss oder ein endgültiges Junggesellentum saß am Fenster.				abstrakter Gegenstand / Kategorienfehler	
Der fremdartige Vollbart ließ das Geschäft an.	FALSCH	EXTR.			
Wenn der Freund in Petersburg ist, dann sitzt Georg Bendemann in seinem Privatzimmer.	WAHR	EXTR.			
Georg Bendemann sah den Fluss.	WAHR	EXTR.			
Wenn Georg Bendemann im ersten Stock sitzt, dann hatte ein junger Kaufmann gerade einen Brief an einen sich im Ausland befindlichen Jugendfreund beendet.	WAHR	EXTR.			
Die Brücke zog die Anhöhen hin und der fremdartige Vollbart ließ das Geschäft an.	FALSCH	EXTR.			
Einen Sonntagvormittag hinzudeuten nicht.	FALSCH	EXTR.		unverständlich	
Die Anhöhen klagten.	FALSCH	EXTR.			
Der Fremde zog die Anhöhen hin.	FALSCH	EXTR.		unverständlich	
Ein junger Kaufmann stockte.	FALSCH	EXTR.			
Die Anhöhen verdeckten die Brücke nicht.	WAHR	EXTR.			
Wenn Georg Bendemann den Fluss sah, dann saß ein junger Kaufmann am Fenster.	WAHR	EXTR.			
Die niedrigen, leichtgebauten Häuser unterschieden sich nicht.	FALSCH	EXTR.			
Wenn Georg Bendemann im ersten Stock sitzt, dann hat ein junger Kaufmann keine rechte Verbindung mit der dortigen Kolonie.	WAHR	INTR.		Unterschiedliches Subjekt	
Der Jugendfreund arbeitete sich in der Fremde ab.	WAHR	EXTR.			
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss nicht.				unverständlich	
Die niedrigen, leichtgebauten Häuser sahen den Fluss oder ein junger Kaufmann saß am Fenster.	WAHR	EXTR.			
Auch fast keinen gesellschaftlichen Verkehr sah den Fluss.				unverständlich	
Die Höhe verdeckte die Brücke nicht.	FALSCH	EXTR.		abstrakter Gegenstand / Kategorienfehler	
Den Fluss verschloss das Haus nicht.	FALSCH	EXTR.			
Georg Bendemann betrieb das Geschäft oder einen Sonntagvormittag schien der Freund.	FALSCH	EXTR.			
Dem Fenster hinzudeuten nicht.				unverständlich	
Einen Sonntagvormittag hinzudeuten nicht.				unverständlich	
Das Fenster beendete einen Brief und das Haus verschloss den Fluss.	FALSCH	EXTR.			
Seine Landsleute schienen dem Freund.				unverständlich	
Georg Bendemann ist ein junger Kaufmann und und betreibt kein Geschäft in Petersburg.	WAHR	EXTR.			
Die Anhöhen flüchteten den Freund nicht.	FALSCH	EXTR.		abstrakter Gegenstand / Kategorienfehler	
Die Anhöhen flüchteten den Freund oder die Brücke richtete die Anhöhen.	FALSCH	EXTR.		abstrakter Gegenstand / Kategorienfehler	
Ein junger Kaufmann hatte gerade einen Brief an einen sich im Ausland befindlichen Jugendfreund beendet.	WAHR	EXTR.			
Der Freund erzählte nicht.	FALSCH	EXTR.			
Die Anhöhen verdeckten die Brücke oder der Freund arbeitete im Ausland.	WAHR	EXTR.			
Die Brücke zog die Anhöhen hin oder der fremdartige Vollbart ließ das Geschäft an.	FALSCH	EXTR.			
Einen Sonntagvormittag flüchtete der Freund oder die niedrigen, leichtgebauten Häuser richteten die Anhöhen.	FALSCH	EXTR.			
Die dortige Kolonie betrieb das Geschäft und seine Landsleute schienen dem Freund.	FALSCH	EXTR.			
